title,date,desc,content,keywords
Thailand to further ease coronavirus restrictions - Reuters,2021-09-27T06:22:00Z,"Thailand will further ease its coronavirus restrictions later this week, the country's COVID-19 task force said on Monday.","People wait in front of a coronavirus disease (COVID-19) mobile vaccination bus set-up to serve the elderly and disabled groups in Bangkok, Thailand, September 8, 2021. REUTERS/Juarawee KittisilpaBAN… [+492 chars]","['#,', '#People', '#wait', '#coronavirus', '#disease']"
"Tell us: how do you feel about returning to cinemas, museums and galleries?",2021-09-23T15:01:35Z,"We would like to hear about what you’re enjoying most about returning to cinemas, museums and galleries now that UK coronavirus restrictions have liftedWe would like to hear about what you’re enjoying most about returning to cinemas, museums and galleries now…","We would like to hear about what youre enjoying most about returning to cinemas, museums and galleries now that UK coronavirus restrictions have lifted. 
What films, art, or exhibits have you seen? … [+462 chars]","['#,', '#We', '#like', '#hear', '#enjoying']"
Nadhim Zahawi: school pupils may have to wear masks again if Covid cases rise,2021-10-07T09:14:13Z,Education secretary confirms back-up plan for English schools but says he doesn’t want bubbles to return<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>Children could be forced to wear masks in schools across England aga…,"Children could be forced to wear masks in schools across England again as part of the governments back-up plan if the countrys Covid situation deteriorates significantly, the education secretary has … [+3065 chars]","['#Children', '#forced', '#wear', '#masks', '#schools']"
Covid: 37% of people have symptoms six months after infection,2021-09-28T18:03:55Z,"A large study reveals the scale of long Covid, with symptoms affected by sex, age and severity of infection <ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>One in three people infected with coronavirus will experience at…","One in three people infected with coronavirus will experience at least one symptom of long Covid, a new study suggests.
Much of the existing research into the condition a mixture of symptoms reporte… [+4372 chars]","['#One', '#people', '#infected', '#coronavirus', '#experience']"
British Medical Association says ‘time is now’ for Covid plan B,2021-10-20T21:18:56Z,The doctors’ trade union believes not taking action over England’s growing Covid cases is ‘wilfully negligent’<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>The British Medical Association has said the “time is now” for…,"The British Medical Association has said the time is now for the government to enact plan B in England to prevent the NHS being overwhelmed by growing numbers of coronavirus cases.
The doctors trade… [+3972 chars]","['#The', '#British', '#Medical', '#Association', '#said']"
Fraud in UK at level where it ‘poses national security threat’,2021-09-22T10:03:19Z,UK Finance says £754m stolen from bank customers in first half of 2021 as scammers capitalised on Covid<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>Fraud in the UK has risen to a level where it poses a “national secur…,"Fraud in the UK has risen to a level where it poses a national security threat, according to the main banking body, with £754m stolen from bank customers during the first half of this year a 30% rise… [+2918 chars]","['#,', '#Fraud', '#UK', '#risen', '#level']"
Latvia enters month-long Covid lockdown as fourth wave breaks,2021-10-20T12:06:49Z,Former coronavirus success story forced to impose night-time curfew as infections surge<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>Latvia has announced a month-long Covid-19 lockdown after an unprecedented surge in i…,"Latvia has announced a month-long Covid-19 lockdown after an unprecedented surge in infections, becoming the first country in Europe to reimpose far-reaching restrictions as countries across the cont… [+3654 chars]","['#-', '#Latvia', '#announced', '#month', '#long']"
Antibodies in breast milk remain for 10 months after Covid infection – study,2021-09-27T05:00:31Z,Exclusive: Researchers believe such antibodies could be used to treat people with severe coronavirus<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>Breastfeeding women who have been infected with Covid-19 continue to sec…,"Breastfeeding women who have been infected with Covid-19 continue to secrete virus-neutralising antibodies into their milk for up to 10 months, data suggests.
Besides emphasising the important role … [+3656 chars]","['#Breastfeeding', '#women', '#infected', '#Covid-19', '#continue']"
Italian Covid bereaved want inquiry extended beyond early outbreak,2021-10-11T16:37:05Z,Families say there are lessons to be learned as first Covid cases in 16 European countries came from Italy<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>Relatives of coronavirus victims in Italy are pushing for a full p…,Relatives of coronavirus victims in Italy are pushing for a full public inquiry into the governments handling of the pandemic as documents from the European Centre for Disease Prevention and Control … [+4308 chars],"['#Relatives', '#coronavirus', '#victims', '#Italy', '#pushing']"
Bereaved families call for acceleration of Covid inquiry after MPs’ report,2021-10-12T17:20:29Z,"Ministers should apologise for poor handling of crisis and loss of lives in pandemic, families say<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>Bereaved families have called for the Covid public inquiry to be accelerat…","Bereaved families have called for the Covid public inquiry to be accelerated and for ministers to apologise after a damning report by MPs on the handling of the pandemic.
Dr Cathy Gardner, whose fat… [+4288 chars]","['#Bereaved', '#families', '#called', '#Covid', '#public']"
